7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,0.59,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,0.67,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,3.10,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,3.65,,
,0.89,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,0.77,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,3.73,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,3.04,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,COH,1.10B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,COH,1.03B,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,COH,4.77B,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,COH,4.38B,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,COH,,,,30,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,COH,,,,20,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,COH,,,,35,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,COH,,,,35,,,,,,,
,,,,Current Qtr. Jun 14,,,,,1.04B,,Revenue Est,,,,,,,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,954.20M,,Revenue Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,4.71B,,Revenue Est,,,,,,,,COH,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,4.04B,,Revenue Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,COH,,,,,,,,,1.15B,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,COH,,,,,,,,,1.11B,,
,,,,Current Year Sep 14,,,,,,,EPS Trends,,,,6.31,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,EPS Trends,,,,6.88,,,,AAPL,,,,,,,,,,,
1.22,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,,,,,,,,,
1.34,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,,,,,,,,,
6.31,,,,Current Year Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,,,,,,,,,
6.88,,,,Next Year Sep 15,,,,,,,EPS Trends,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,1.22,,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,1.33,,,,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,EPS Trends,,,6.30,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,EPS Trends,,,6.84,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,6.26,,,,MCD,,,,,,,,,,,
1.44,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MCD,,,,,,,,,,,
1.62,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MCD,,,,,,,,,,,
5.75,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,MCD,,,,,,,,,,,
6.27,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,1.44,,,,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,1.62,,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,5.76,,,,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,6.25,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MCD,,,1.46,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MCD,,,1.62,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,MCD,,,5.80,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,MCD,,,6.29,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MCD,,1.46,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MCD,,1.62,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,MCD,,5.82,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,MCD,,6.32,,,,,,,,,
,,0,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,0,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,0,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,1,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,1,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,2,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.00,,,YELP,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.02,,,YELP,,,,,,,,,,,
,,,,Jun 13,,,75.00%,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Sep 13,,,-300.00%,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Dec 13,,,0.00%,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Mar 14,,,33.30%,,,,Earnings History,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,-0.03,,,,YELP,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,0.00,,,,YELP,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,-0.03,,,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,0.32,,,,YELP,,,,,,,,,,,
-0.03,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,YELP,,,,,,,,,,,
0.00,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,YELP,,,,,,,,,,,
-0.03,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,YELP,,,,,,,,,,,
0.32,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,-0.03,,,,,YELP,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,0.00,,,,,YELP,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,-0.03,,,,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,0.32,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,YELP,,,-0.02,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,YELP,,,0.00,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,YELP,,,-0.04,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,YELP,,,0.37,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,YELP,,-0.02,,,,,,,,,
,,,,Oct 13,-1.85,,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Jan 14,-0.76,,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Apr 14,-1.16,,,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Jul 13,,,,,,,Earnings History,,,,,-1.14,,,JCP,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,,,COH,,,,,,,,,4.82B,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,,,COH,,,,,,,,,5.10B,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,1.22B,,,,,,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,1.15B,,,,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,5.08B,,,,,,,COH,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,4.77B,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,-10.20%,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,-10.50%,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,-6.10%,,COH,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,-8.20%,,COH,,,,,,,,,,,
,,,,Jun 13,,0.89,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Sep 13,,0.76,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Dec 13,,1.11,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Mar 14,,0.61,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Jun 13,0.89,,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Sep 13,0.77,,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Dec 13,1.06,,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Mar 14,0.68,,,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,0.00,,,COH,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.01,,,COH,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,-0.05,,,COH,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.07,,,COH,,,,,,,,,,,
,,,,Jun 13,,,0.00%,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Sep 13,,,1.30%,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,1.21,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,1.33,,,,,,,,
,,,,Current Year Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,,6.09,,,,,,,,
,,,,Next Year Sep 15,,,,,,,EPS Trends,,,,,,,,AAPL,,,6.66,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,AAPL,,1.23,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,1.35,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,EPS Trends,,,,,,,,AAPL,,6.12,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,EPS Trends,,,,,,,,AAPL,,6.64,,,,,,,,,
,,0,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,0,,Current Year Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,0,,Next Year Sep 15,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,7,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,6,,,,
,,,,Current Year Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,10,,,,
,,,,Next Year Sep 15,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,13,,,,
,,,0,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,,0,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,,0,Current Year Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,,1,Next Year Sep 15,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,N/A,,,,,,
,,,,Current Year Sep 14,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,N/A,,,,,,
,,,,Next Year Sep 15,,,,,,,EPS Revisions,,,,,,,,AAPL,,,,,N/A,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,7,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,YELP,,0.00,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,YELP,,-0.04,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,YELP,,0.37,,,,,,,,,
,,0,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,0,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,0,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,0,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,0,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,0,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,1,,,,
,,,0,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,,0,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,,0,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,,0,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,N/A,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,N/A,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,YELP,,,,,N/A,,,,,,
,,,,YELP,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,-200.00%,
,,,,Oct 13,,,,,,,Earnings History,,,,,-0.08,,,JCP,,,,,,,,,,,
,,,,Jan 14,,,,,,,Earnings History,,,,,0.09,,,JCP,,,,,,,,,,,
,,,,Apr 14,,,,,,,Earnings History,,,,,0.09,,,JCP,,,,,,,,,,,
,,,,Jul 13,,,-107.50%,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Oct 13,,,-4.50%,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Jan 14,,,10.60%,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Apr 14,,,7.20%,,,,Earnings History,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Trends,,,,-0.94,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Trends,,,,-0.84,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,EPS Trends,,,,-2.79,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,EPS Trends,,,,-1.33,,,,JCP,,,,,,,,,,,
-0.94,,,,Current Qtr. Jul 14,,,,,,,EPS Trends,,,,,,,,JCP,,,,,,,,,,,
-0.84,,,,Next Qtr. Oct 14,,,,,,,EPS Trends,,,,,,,,JCP,,,,,,,,,,,
-2.79,,,,Current Year Jan 15,,,,,,,EPS Trends,,,,,,,,JCP,,,,,,,,,,,
-1.33,,,,Next Year Jan 16,,,,,,,EPS Trends,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Trends,,,-0.94,,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Trends,,,-0.84,,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,EPS Trends,,,-2.84,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,EPS Trends,,,-1.33,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Trends,,,,,,,,JCP,,,-1.09,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Trends,,,,,,,,JCP,,,-0.86,,,,,,,,
,,,,Current Year Jan 15,,,,,,,EPS Trends,,,,,,,,JCP,,,-2.98,,,,,,,,
,,,,Dec 13,,,-4.50%,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Mar 14,,,11.50%,,,,Earnings History,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,0.53,,,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,0.50,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,3.04,,,,COH,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,2.19,,,,COH,,,,,,,,,,,
0.54,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,,,,,,,,,,
0.62,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,COH,,,,,,,,,,,
3.05,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,COH,,,,,,,,,,,
2.79,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,COH,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,0.54,,,,,COH,,,,,,,,,,,
,,,,AAPL,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,14.00%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,102.90%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,N/A,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,12.30%,
,,,,AAPL,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,13.60%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,87.60%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,696.40%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,16.70%,,,,,
,,,,AAPL,,,,,,,Growth Est,,,,,,,11.10%,AAPL,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,9.80%,AAPL,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,AAPL,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,AAPL,,,,,,,,,,,
,,,,AAPL,,,,9.00%,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Industry,,,,-3.10%,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Sector,,,,25.00%,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,AAPL,,,,,,,Growth Est,,50.83%,,,,,,AAPL,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,AAPL,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,AAPL,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,AAPL,,,,,,,,,,,
,,,,AAPL,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,15.37%
,,,,Industry,,,,,,,Growth Est,,,,,,,,AAPL,,,,,,,,,,,8.28%
,,,1,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,,1,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,,1,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,,1,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,N/A,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,N/A,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,MCD,,,,,N/A,,,,,,
,,,,MCD,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,4.30%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,40.70%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,-21.80%,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MCD,,,,,,,,,,12.30%,
,,,,MCD,,,,,,,Growth Est,,,,,,,,MCD,,,,,,6.60%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MCD,,,,,,101.20%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MCD,,,,,,67.00%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MCD,,,,,,16.70%,,,,,
,,,,MCD,,,,,,,Growth Est,,,,,,,3.80%,MCD,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,-2.50%,MCD,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,4.40%,MCD,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,MCD,,,,,,,,,,,
,,,,MCD,,,,8.70%,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Industry,,,,15.30%,,,Growth Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,-10.00%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,N/A,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,YELP,,,,,,,,,,12.30%,
,,,,YELP,,,,,,,Growth Est,,,,,,,,YELP,,,,,,100.00%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,YELP,,,,,,9.40%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,YELP,,,,,,696.40%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,YELP,,,,,,16.70%,,,,,
,,,,YELP,,,,,,,Growth Est,,,,,,,80.00%,YELP,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,6.40%,YELP,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,YELP,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,YELP,,,,,,,,,,,
,,,,YELP,,,,"1,166.70%",,,Growth Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,EPS Trends,,,,,,,,JCP,,,-1.22,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Trends,,,,,,,,JCP,,-1.09,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Trends,,,,,,,,JCP,,-0.87,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,EPS Trends,,,,,,,,JCP,,-2.93,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,EPS Trends,,,,,,,,JCP,,-1.47,,,,,,,,,
,,0,,Current Qtr. Jul 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,0,,Next Qtr. Oct 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,0,,Current Year Jan 15,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,0,,Next Year Jan 16,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,0,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,0,,,,
,,,,Current Year Jan 15,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,1,,,,
,,,,Next Year Jan 16,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,0,,,,
,,,0,Current Qtr. Jul 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,,0,Next Qtr. Oct 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,,0,Current Year Jan 15,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,,0,Next Year Jan 16,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,N/A,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,N/A,,,,,,
,,,,Current Year Jan 15,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,N/A,,,,,,
,,,,Next Year Jan 16,,,,,,,EPS Revisions,,,,,,,,JCP,,,,,N/A,,,,,,
,,,,JCP,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,57.30%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,37.60%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,JCP,,,,,,,,,,-21.80%,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,0.63,,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,3.05,,,,,COH,,,,,,,,,,,
